Date,open,high,low,close,volume
2007-07-26,27.276871639816065,27.383772799086234,26.725482985256154,26.95054054260254,101000
2007-07-27,26.883025853835505,27.02931393104167,26.528563047553078,26.539813995361328,579000
2007-07-30,26.933662764799397,27.085576310611167,26.815508500159634,26.98430061340332,298400
2007-07-31,27.293750205409268,27.383772799086234,26.950540542602536,26.95054054260254,210400
2007-08-01,26.826756094359368,27.569442957426233,26.57919452210632,27.063064575195312,353900
2007-08-02,26.96179442595532,27.085576310611167,26.815508500159634,26.98430061340332,251800
2007-08-03,26.905532042068494,26.905532042068494,26.52293542734071,26.539813995361328,309600
2007-08-06,26.607324012279193,26.9505357604943,26.58481783127647,26.944908142089844,232100
2007-08-07,26.66922257436395,27.141841779231175,26.66922257436395,26.98430061340332,181800
2007-08-08,27.2318690649653,27.513190017511185,27.22061596930644,27.389408111572266,135700
2007-08-09,26.702974471233368,26.922404390038107,26.556688574132792,26.567941665649414,195800
2007-08-10,26.584825410255995,26.584825410255995,25.98842432150312,26.213481903076172,291300
2007-08-13,26.461042905519637,26.506055279302437,26.258491516113278,26.25849151611328,133700
2007-08-14,26.39352717975245,26.39352717975245,25.909654880503872,25.920907974243164,64200
2007-08-15,25.59456365692172,25.87588441656721,25.301989809333563,25.307615280151367,345800
2007-08-16,25.166971729596902,25.200731015999892,24.581823643129404,25.189477920532227,552000
2007-08-17,25.712725948022545,25.712725948022545,25.251359928799726,25.543933868408203,403200
2007-08-20,25.673344154656384,25.673344154656384,25.318879244270363,25.577693939208984,672200
2007-08-21,25.504547048946925,25.673339114845696,25.504547048946925,25.572063446044922,41200
2007-08-22,25.982798847802467,26.213481903076172,25.982798847802467,26.213481903076172,96800
2007-08-23,26.416018953411395,26.449776069901624,26.162829848199674,26.32599639892578,329600
2007-08-24,26.33725391706761,26.747982025146484,26.326000827575502,26.747982025146484,112700
2007-08-27,26.612946889987768,26.612946889987768,26.483539581298828,26.483539581298828,111200
2007-08-28,26.309136658206462,26.309136658206462,25.825266383727236,25.836517333984375,256100
2007-08-29,26.190977097445273,26.528563487615294,26.089701395025095,26.52293586730957,177400
2007-08-30,26.1234500975666,26.51729965342949,26.1234500975666,26.331626892089844,173300
2007-08-31,26.8717645606233,26.995546411828236,26.742357237230678,26.928030014038086,684900
